Clean Plaintiff,Plaintiff Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SHORE SURGICAL ASSIS TANT GARY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHORE SURGICAL ASSIS TANT GARY B,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.L.M. /HUDSON ANEST HESIA ASS,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOMEN'S HEALTH CARE ASSOC,Medical,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
WOMENS HEALTH CARE ASSOC,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MEDICAL CTR AT PRINC,Medical,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CENTENNIAL SURGICAL CENTER,Medical,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
NORTH JERSEY ORTHOPE DIC,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MEDIPLEX SURGERY CEN YER,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PLASTIC SURGERY GROUP,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NORTHFIELD FAMILY DENTAL,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GEM AMBULANCE,Medical,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIBERTY ANESTHESIA A SSOCISTES,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANESTHESIA CONSUL OC CEN JER,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DIAGNOSTIC IMAGING O F NJ,Medical,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
ST MICHAELS MEDICA L CTR,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGNETIC IMAGING OR MORRIS,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TEANECK RADIOLOGY CT R,Medical,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
FORE TECH MEDICAL IN C,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RED BANK RADIOLOGY,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUNTERDON DIAGNOSTIC ASSOCIATE,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLCARE MEDICAL REHABILIT,Medical,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
WESTWOOD ANESTHESIA ASSOCIATE,Medical,0,0,0,0,1,0,0,3,2,1,0,13,0,0,0,0
NEWARK DIAGNOSTIC RA DIOLGY,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UNITED HOSPITALS MED CTR,Medical,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JERSEY SHORE ANESTH ASSOC,Medical,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
HEAD & NECK SURGICAL ASSOCIATE,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ASSOCIATES RADIOLOGY,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CALDWELL DENTAL ASSO C,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WESTFIELD PEDIATRIC DENTAL GR O,Medical,0,6,4,4,3,0,0,0,0,0,0,0,0,0,1,0
INNOVATIVE AMBULATOR Y ANESTHE,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
VALLEY MEDICAL SERVI CES INC,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PLASTIC SURGERY GROU P,Medical,0,0,0,1,0,1,1,0,1,3,0,0,0,0,0,0
OMRON HEALTHCARE INC,Medical,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LINCROFT ORAL MAXILL OFCIAL SU R,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NEUROLSURGICAL GROUP OF NJ PA,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAITN CLARES HOSPITA L,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HAMILTON ORTHOPDIC ASSO,Medical,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIMBA MEDICAL SUPPLY INC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIDDLE3SEX SURGICAL SUPPLY,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MRSTWM MEM HOSPITAL,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UNION COUNTY ORTHOPE DIC GROUP,Medical,1,0,0,0,3,0,0,0,10,16,32,12,0,0,0,0
EASTERN DENTAL OF EW ING GENL,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MAGNETIC IMAGING KEN NEDY,Medical,1,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0
GROUP DENTAL ASSOCIA TES,Medical,27,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0
CENTRAL JERSEY ORAL MAXILLOFA C,Medical,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
SOUTH ORANGE MEDICAL CTR,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED MEDICAL CENTE R/AVILES,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ULTIMATE DENTAL OF N ORTH BERG E,Medical,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
NEW CITY ORTHOPEDIC GRP,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLWOOD ORTHOPAEDIC ASSOC.,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOPER HOSPITAL /U M C,Medical,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
COMMUNITY DENTAL,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PACE ORTHOPEDIC & SP ORTS MEDI,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAPE ATLANTIC ORAL & MAXILL S O,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
STRATFORD ANESTH,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DEMAIO RUTNER ORAL & MAXILLO,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Q ANESTHESIA SERV PC,Medical,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ALLCARE MEDICAL AND PAIN,Medical,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0
OCEAN PARK MEDICAL A SSOCIATES,Medical,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0
MERCER BUCKS ORTHOPE,Medical,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PARK AVENUE SURGICAL ASSOCIAT S,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GROUP DENTAL ASSOC OF NUTLEY,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENTAL CARE HILLSIDE,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SHU DENTAL LAB INC,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ST PETER'S UNIVERSIT Y MEDICAL,Medical,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
DOWNTOWN DENTAL CENTER,Medical,0,0,12,5,5,0,0,0,0,0,0,0,0,0,0,0
SURGICAL ASSOC OF CT RL NJ,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RADIOLOGY ASSOCIATES OF ELIZAB E,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JERSEY SHORE AMBULA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SADDLEBROOK SURGICEN TER INC,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BEGENSURGICALSPECIAL ISTS,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WASHINGTON MEDICAL, PA",Medical,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
BRIGHTER DENTAL CAR ROBBINSVI L,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SALL MYERS MEDICAL,Medical,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAST COAST ANESTHESI A,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
NJ DENTAL SCHOOL -DE PT. OF OR,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EAST BERGEN MEDICAL/ GRAVATT,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASSOCIATES IN ORAL A ND MAXILL O,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Boscov's,Misc Lender,26,691,886,497,221,49,41,212,280,195,45,0,0,0,0,0
ADVANCED NEUROLOGIC & ORTHOPE,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ELECTRICIAL MEDICAL SYSTEMS,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ST BRNABAS MEDICAL C ENTER,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAND SURGERY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0
ANESTHESIOLOGY ASSOC OF MANHAT T,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SURGICAL CENTER FOR HAIR,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BERGEN HEALTHCARE,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
ANESTHESIOLOGY ASSOC MANHATTAN,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAINLAND ORTHOPEDIC ASSOC,Medical,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
UNION AVE DENTAL CTR P A,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SPARTA MEDICAL ASSO PA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTER OF DENTAL SERVICES,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ALLCARE MEDICAL AND PAIN MANA G,Medical,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0
"PARTNERS HEALTHCARE, LLC",Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
CATHEDRL HEALTHCARE SYSTEMS,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MEDICAL IMAGING OF ESSEX,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BERGEN DENTAL ASSOCI ATES,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THERA-CON MEDICAL CO RP INC,Medical,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRIDGE HEALTHCARE LL C,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MID ALTLANTIC SURGIC AL ASSOC,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EASTERN DENTAL OF EW ING LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
BROOKDALE HOSPITAL M EDICAL CE N,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDRENS HOSPITAL M EDICAL,Medical,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NEUROSURGICAL GRP.,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
WAYNE MEDICAL ASSOC,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BEAR BROOK COMMONS DENTAL,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANESTHESUA ASSOC OF MORRISTOW N,Medical,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ORTHOPAEDIC SURGERY OF MONTCL A,Medical,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
PGH ANESTHESIOLOGY G ROUP PA,Medical,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NORTHFIELD SURGICAL CENTER,Medical,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
FREEDOM MEDICAL/OCAS IO,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RIDGEWOOD DENTAL ASS N,Medical,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
GASTROMED HEALTHCARE PC,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MONMOUTH MEDICAL IMA GING PA,Medical,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0
MORRISTOWN ORTHOPEDI C ASSOCIA T,Medical,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
ANESTHESIA ASSOCIATE S OF MILL V,Medical,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ORTHOPAEDIC & JOINT,Medical,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ DENTAL SCHOOL DP ORTHONDIC S,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SOUTH JERSEY DIAGNOS TIC/WATT,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MEDICAL CENTER OF OCEAN CTY,Medical,0,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0
RADIOLOGY ASSOC OF NJ LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
MELEIS MEDICAL ASSOC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ORTHOPEDIC SPINE & SPORTS,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MONMOUTH MEDICAL ASS OCIATION,Medical,0,0,1,0,0,0,16,0,1,1,0,0,0,0,0,0
BESSE MEDICAL SUPPLY INC.,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLASTIC SURGICAL ASS OC,Medical,0,0,1,1,0,2,1,1,0,1,0,0,0,0,0,0
PENNSYLVANIA UNIV HOSPITAL,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CORONA MEDICAL IMAGI NG,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DENTAL GROUP OF NJ,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TISCH HOSPITAL-NYU M ED. CNTR.,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEDIMEDICA INC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GENERAL HOSPITAL CNT PASSAIC,Medical,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ALL FAMILY DENTAL LL C,Medical,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
STONY BROOK ANESTHEI SOLOGY,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RADIOLOGY CTR. AT HA RDING,Medical,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
ANESTESIA MGT ASSOC OF NJ,Medical,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
HACKSENSACK ANESTHES IOLOGY,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EASTERN DENTAL OF NO RTHFIELD,Medical,0,0,0,0,0,0,1,0,2,1,5,2,0,1,0,0
CATHEDRAL HEALTHCARE SYSTEM IN,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PREAKNESS RADIOLOCIA L ASSOCI,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
THE RIDGE DENTAL GRO UP PA,Medical,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0
N HUNTERDON DENTAL A SSOCIATES,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NU SMILE DENTAL PA,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RECONSTRUCTIVEORTHOP EDIC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ AMBULATOR ANESTHE SIA ASSO,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CORNELL ANESTHEIOLOG Y,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EASTERN DENTAL CENTE R HAMILTO N,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
UNIHEALTH MEADOWLAND S HOSPITA L,Medical,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CNTR FOR DENTAL AND ORAL,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JERSEY SHORE MEDICAL GROUP,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PREMIER HOME HEALTH CARE SERV,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NJ DENTAL SCHOOL DEP T OF,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MORRIS IMAGING ASSOI CIATES II,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bell Atlantic,Utility,299,411,1451,821,607,89,4,1,11,0,0,0,0,0,0,0
S J RADIOLOGY,Medical,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0
CAPE ATLANTIC ORAL & MAXILLOFA S,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SHREWSBURY SURGERY CTR LLC,Medical,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
TB DENTAL PA,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MULTI-CARE AMBULANCE INC,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MID JERSEY ANESTHESI A ASSO,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EASTERN DENTAL CEN O F EWING,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MEADOWLANDS MEDICAL EQUIP,Medical,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0
MEDICAL TRANS ASSOC OF NJ,Medical,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
EAST BERGEN IMAGING/ KATZ,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ROXBURY/HACKETTSTOWN DENTAL A,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOME HEALTH CARE RES OURCES,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
STPETER'S UNIVERSITY HOSPITAL,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
STATE AMBULANCE,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDICAL PARK IMAGING P A,Medical,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
WHITING HEALTHCARE C ENTER,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SOMERSET ORTHOPEDIC ASSOICATE,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
QUALITY ORTHOPEDICS,Medical,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
UNION AVENUE DENTAL AVENUE,Medical,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDICAL IMAGING,Medical,18,17,3,7,0,0,0,0,0,0,0,0,0,0,0,0
MIDDLESEX SURGICAL S UPPLY,Medical,29,7,18,3,0,0,0,0,0,0,0,0,0,0,0,0
MEDICAL DIAGNOSTIC ASSOCIATE S,Medical,0,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0
MUHLENBERG REGIONAL MEDICAL C T,Medical,0,1,0,0,0,1,0,0,1,0,0,3,0,0,0,0
CUMMUNITY HOSPITAL G RP INC,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
METORPOLITAN MEDICAL,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"GOTHAM CITY ORTHOPED ICS, LLC",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSOCIATED ORTHOPAED IC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NO ESSEX IMAGING,Medical,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGLEWOD RADIOLOGIC GROUP,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SURGI-CARS SURGICAL ASSOC,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMMEDIATE MEDICAL CA RE,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FREEDOM MEDICAL SUPP LY/ESPOSI T,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HAMPTON MEDICAL GROU P,Medical,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHUR MEDICAL SPORT S ASSOC,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ORTHOPAEDIC&JOINT RE CONSTR.,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
N J ANESTHESIA ASSOC IATES,Medical,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
NOTCHVIEW DENTAL GRO UP,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARES AMBULATORY SUR GERY CENT E,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
POCONO MEDICAL CENTE R FCU,Misc Lender,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HARLIN RADIOLOGY ASS OC PA,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GENERAL HOSPITAL CEN AT PASSA I,Medical,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANESTHESIA ASSOCIAT ES OF NJ,Medical,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
LARCHMONT IMAGING/VA NSCIVER,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ANESTHESIA ASSOC. OF NJ, LLC",Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CHS HOSPITAL COMPANY LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOMERSET ORAL/MAXILL O SURGERY,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RADIOLOGIC GROUP OF NORTH J.,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EYE DIAGNOSTIC & SUR GERY CENT,Medical,0,0,0,0,0,0,0,3,0,1,0,2,1,0,0,0
SOUTHERN OCEAN COUNT HOSPITAL,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACCURATE DIAGNOSTIC IMAGING,Medical,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0
NEROSURGICAL GROUP,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SOM ANESTHESIA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RADIOLOGY ASSOCOF R IDGEWOOD,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BAYONE ANESTHESIA AS SOCIATES,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GENERAL HOSPITAL CEN T PASSAIC,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SUMMIT SURGICAL CTR,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEST HEALTHCARE SERV ICES,Medical,0,0,0,0,0,1,1,0,0,0,0,1,1,3,0,0
CEDARBROOK SURGICAL GROUP OTH O,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ULTIMATE DENTAL OF N BERGEN,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MEDICAL CENTER OF,Medical,0,0,0,1,0,1,0,4,12,2,0,1,8,0,0,0
CHILDRENS HOSPITAL M ED GROUP A,Medical,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ROYAL MEDICAL STAFFI NG INC,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EDISON ANESTHESIA ASSOC,Medical,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0
NYACK HOSPITAL,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNION AVE. DENTAL CT,Medical,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
TRENTON ANESTOLOGY ASSOC,Medical,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
COL PRESB DEPT/ANEST HESIOLOGY,Medical,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
LINDEN MEDICAL ASSOC IATES MD P,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
CENTRAL STATE MEDICA L CENTER,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FROST DENTAL GROUP 75 ORIENT,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MIDDLESEX SURGICAL SUPPLY IN C,Medical,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
MAHWAH VALLEY ORTHOP,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CETER FOR ORTHOPAEDI C SURGERY,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
THOMAS JEFFERSON UNI V HOSPITA,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MONTCLAIR ORTHOPAEDI C GRP,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PREMIER ORAL SURGICA L GRP, PC",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayonne Anesthesia Assoc,Medical,173,73,230,238,272,26,11,5,2,0,0,0,0,0,0,0
HEALTHCARE 2000 LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RESIDENTAL WARRANTY CRP,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NEWARK DIAGNOTIC RAD IOLOGY,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GERIATRIC & MEDICAL,Medical,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ST ANTHONY COMMUNITY HOSPITAL,Medical,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UNION AVE. DENTAL CT R.,Medical,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0
ALPHA DENTAL ASSOCIA TES P,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ANESTHESIA ASSOC.,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
FREEDOM MEDICAL SUPP LY/GONZAL E,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PERIOPERATIVE MED & ANESTH PC,Medical,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0
ALLCARE MEDICAL & REHABILIT A,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PROFESSIONAL ORTHOPE AEDIC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.G.H ANESTHESIOLOGY GROUP,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERAL HOSPITAL CEN TER,Medical,93,58,6,16,4,11,11,2,1,0,0,0,0,0,0,0
MEDICAL EMPLOYEES OF STATEN IS L,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WATCHUNG SURGICAL ASSOC,Medical,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
WEST MONM ORTHOPDIC ASSOC,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
